id,gender,bdate,educ,jobcat,salary,salbegin,jobtime,prevexp,minority
413,f,13-Mar-1966,16,3,"$43,500","$19,500",68,11,0
414,m,8-Jan-1961,8,2,"$30,300","$15,750",68,155,1
415,m,2-May-1963,15,1,"$31,950","$15,750",68,70,1
416,m,16-Jan-1965,15,1,"$35,250","$13,500",67,6,0
417,m,22-Jul-1967,15,1,"$37,800","$15,000",67,36,0
418,m,5-Jun-1965,15,1,"$31,200","$15,750",67,46,0
419,m,20-Oct-1964,15,1,"$29,400","$16,500",67,68,0
420,m,16-Jul-1957,19,3,"$70,000","$35,040",67,75,0
421,m,1-Nov-1961,15,1,"$33,900","$15,750",67,96,0
422,m,20-Jul-1963,15,1,"$27,150","$16,500",67,78,0
423,f,26-Apr-1936,12,1,"$22,200","$13,800",67,196,0
424,f,6-Jul-1966,15,1,"$31,350","$11,100",67,47,0
425,f,26-Jan-1942,12,1,"$20,850","$13,500",67,181,0
426,m,27-Oct-1952,16,1,"$33,300","$17,490",67,120,1
427,m,21-Apr-1942,8,1,"$26,250","$16,050",67,97,1
428,m,28-Feb-1964,15,1,"$31,950","$15,750",67,58,1
429,m,13-Aug-1946,8,2,"$30,000","$15,750",67,305,1
430,m,29-Apr-1956,19,3,"$66,250","$34,980",67,99,1
431,m,15-Jan-1959,18,3,"$86,250","$45,000",66,50,0
432,m,12-Mar-1964,12,1,"$30,750","$15,000",66,56,0
433,m,15-Nov-1966,12,1,"$33,540","$15,750",66,47,0
434,m,#NULL!,16,1,"$34,950","$20,250",66,55,0
435,m,24-May-1964,15,1,"$40,350","$16,500",66,80,0
436,m,27-May-1965,12,1,"$30,270","$15,750",66,80,0
437,m,4-Sep-1933,8,1,"$26,250","$16,050",66,264,0
438,m,11-Oct-1964,15,1,"$32,400","$15,000",66,64,0
439,f,25-Jun-1970,12,1,"$20,400","$11,250",66,0,0
440,f,10-Nov-1947,8,1,"$24,150","$12,750",66,96,0
441,f,2-Aug-1949,15,1,"$23,850","$13,500",66,122,0
442,f,18-Sep-1968,12,1,"$29,700","$13,500",66,26,0
443,f,10-Feb-1929,8,1,"$21,600","$13,500",66,228,0
444,f,16-Sep-1961,12,1,"$24,450","$15,750",66,87,0
445,m,4-Aug-1963,15,1,"$28,050","$16,500",66,84,1
446,m,3-Aug-1958,16,3,"$100,000","$44,100",66,128,1
447,m,2-Jul-1961,15,1,"$49,000","$20,550",66,86,1
448,f,5-Jun-1933,12,1,"$16,350","$10,200",66,163,1
449,m,2-Jan-1966,16,3,"$70,000","$21,750",65,19,0
450,m,21-Jul-1954,19,3,"$55,000","$34,980",65,129,0
451,m,19-Jul-1969,15,1,"$28,500","$14,250",65,20,0
452,m,13-Aug-1953,12,1,"$28,800","$18,000",65,210,0
453,m,7-Aug-1930,15,1,"$24,450","$15,750",65,338,0
454,m,28-Jul-1965,19,3,"$90,625","$31,250",65,18,0
455,m,17-Jan-1964,16,3,"$43,650","$19,500",65,19,0
456,m,17-Oct-1959,19,3,"$75,000","$42,510",65,54,0
457,m,27-May-1968,15,1,"$31,650","$14,250",65,10,0
458,m,6-Jul-1965,19,3,"$61,875","$28,740",65,26,0
459,f,10-Feb-1971,12,1,"$21,750","$11,250",65,0,0
460,f,12-Aug-1969,12,1,"$22,500","$12,750",65,24,0
461,f,8-Nov-1943,8,1,"$21,600","$13,500",65,173,0
462,f,18-Oct-1963,16,3,"$34,410","$19,500",65,79,0
463,f,15-Oct-1934,15,1,"$20,700","$14,250",65,241,0
464,m,20-Mar-1962,19,3,"$47,550","$33,000",64,27,0
465,m,20-Jul-1962,12,1,"$33,900","$16,500",64,106,0
466,f,15-Jun-1948,12,1,"$23,400","$13,500",64,198,0
467,f,18-Aug-1967,16,1,"$32,850","$19,500",64,20,0
468,f,28-Nov-1965,16,3,"$55,750","$19,980",64,36,0
469,f,1-Jun-1964,15,1,"$25,200","$13,950",64,57,0
470,m,22-Jan-1964,12,1,"$26,250","$15,750",64,69,1
471,m,3-Aug-1966,15,1,"$26,400","$15,750",64,32,1
472,m,21-Feb-1966,15,1,"$39,150","$15,750",63,46,0
473,f,25-Nov-1937,12,1,"$21,450","$12,750",63,139,0
474,f,5-Nov-1968,12,1,"$29,400","$14,250",63,9,0
